Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,135.240005,136.740005,133.889999,135.119995,130.404770,11054800
2023-01-04,135.990005,137.679993,135.570007,136.380005,131.620773,11687600
2023-01-05,135.660004,135.710007,133.699997,135.350006,131.591629,8381300
2023-01-06,136.130005,138.380005,134.490005,137.940002,134.109711,10029100
2023-01-09,138.600006,138.880005,136.880005,137.369995,133.555527,8482300
2023-01-10,137.789993,138.720001,137.309998,138.600006,134.751373,9048700
2023-01-11,138.899994,139.750000,138.100006,139.630005,135.752777,8703700
2023-01-12,140.000000,140.860001,139.220001,139.490005,135.616669,11001700
2023-01-13,135.600006,143.490005,134.800003,143.009995,139.038925,20200000
2023-01-17,141.169998,141.539993,139.229996,140.800003,136.890274,14292900
2023-01-18,138.919998,140.729996,136.410004,136.570007,132.777756,13392600
2023-01-19,135.320007,135.899994,133.589996,134.750000,131.008270,13303400
2023-01-20,135.160004,135.490005,133.550003,135.080002,131.329117,13092500
2023-01-23,135.119995,137.960007,134.820007,137.270004,133.458313,10487100
2023-01-24,136.419998,140.289993,135.000000,138.449997,134.605545,6945000
2023-01-25,138.050003,139.119995,137.250000,139.119995,135.256943,8967000
2023-01-26,139.419998,140.059998,138.360001,139.979996,136.093048,7487600
2023-01-27,140.610001,141.259995,139.750000,140.320007,136.423630,7489900
2023-01-30,139.229996,140.089996,138.910004,139.130005,135.266663,6729300
2023-01-31,139.880005,140.070007,138.250000,139.960007,136.073608,9188700
2023-02-01,138.210007,140.880005,138.119995,139.589996,135.713882,8841800
2023-02-02,140.000000,140.460007,138.000000,138.940002,135.081940,11822100
2023-02-03,138.179993,142.330002,138.130005,141.089996,137.172226,11501200
2023-02-06,140.229996,142.240005,140.029999,141.919998,137.979172,8406200
2023-02-07,141.380005,144.339996,141.179993,143.649994,139.661148,10447900
2023-02-08,142.649994,144.039993,142.279999,142.639999,138.679184,6958000
2023-02-09,143.119995,143.339996,139.869995,140.419998,136.520844,6443100
2023-02-10,139.779999,141.279999,138.589996,141.039993,137.123611,6582900
2023-02-13,141.300003,142.729996,140.740005,142.570007,138.611145,7134600
2023-02-14,142.500000,143.809998,141.600006,143.199997,139.223648,9249400
2023-02-15,141.610001,143.889999,141.300003,143.800003,139.806992,6728300
2023-02-16,142.910004,143.389999,141.679993,141.820007,137.881958,8165300
2023-02-17,140.979996,142.830002,140.070007,142.240005,138.290298,7948800
2023-02-21,140.690002,141.339996,138.750000,139.630005,135.752777,9996300
2023-02-22,138.919998,139.429993,137.440002,138.559998,134.712479,11107500
2023-02-23,138.729996,140.169998,137.940002,139.669998,135.791656,8068000
2023-02-24,139.110001,141.360001,138.929993,140.929993,137.016678,9126900
2023-02-27,142.110001,143.309998,141.720001,142.160004,138.212524,10014700
2023-02-28,142.940002,143.759995,141.899994,143.350006,139.369476,11019800
2023-03-01,142.100006,143.460007,141.800003,142.550003,138.591690,7139200
2023-03-02,142.240005,142.429993,139.539993,141.070007,137.152802,11106800
2023-03-03,141.509995,143.740005,141.080002,143.660004,139.670868,9513100
2023-03-06,143.440002,144.039993,142.660004,142.820007,138.854187,9261300
2023-03-07,142.009995,142.309998,137.809998,138.619995,134.770813,11747600
2023-03-08,138.000000,138.589996,136.889999,137.800003,133.973587,10002500
2023-03-09,136.759995,137.350006,129.220001,130.339996,126.720726,25888100
2023-03-10,128.960007,135.259995,127.820000,133.649994,129.938828,37599700
2023-03-13,131.210007,133.880005,129.410004,131.250000,127.605469,42901100
2023-03-14,135.279999,135.529999,131.289993,134.619995,130.881882,29648100
2023-03-15,130.979996,130.990005,126.730003,128.259995,124.698486,34280600
2023-03-16,128.009995,131.949997,126.019997,130.750000,127.119339,24558500
2023-03-17,128.380005,128.479996,125.449997,125.809998,122.316521,38396000
2023-03-20,126.989998,129.470001,126.010002,127.139999,123.609589,22875500
2023-03-21,130.589996,131.729996,130.190002,130.550003,126.924904,17807800
2023-03-22,130.559998,130.660004,127.080002,127.180000,123.648483,17250200
2023-03-23,127.900002,129.529999,126.019997,126.839996,123.317924,16677600
2023-03-24,125.629997,125.680000,123.110001,124.910004,121.441513,22311100
2023-03-27,126.790001,129.380005,126.290001,128.490005,124.922112,18853900
2023-03-28,128.710007,129.339996,127.739998,128.880005,125.301277,10820500
2023-03-29,130.100006,130.220001,127.769997,129.139999,125.554062,14595300
2023-03-30,129.949997,130.119995,127.650002,128.750000,125.174896,12134700
2023-03-31,129.660004,130.339996,128.850006,130.309998,126.691574,13105200
2023-04-03,129.910004,131.440002,129.410004,130.160004,126.545746,11775400
2023-04-04,130.500000,130.589996,127.410004,128.419998,124.854050,11579900
2023-04-05,126.800003,128.149994,126.459999,127.610001,125.040222,9614700
2023-04-06,127.000000,128.080002,126.860001,127.470001,124.903038,8760200
2023-04-10,126.540001,128.229996,126.220001,127.889999,125.314575,9477300
2023-04-11,128.300003,128.940002,127.540001,128.520004,125.931892,10516300
2023-04-12,129.179993,130.429993,128.059998,128.500000,125.912292,11821000
2023-04-13,128.460007,129.039993,126.830002,128.990005,126.392433,12450200
2023-04-14,135.149994,139.119995,134.899994,138.729996,135.936279,43931300
2023-04-17,139.949997,140.059998,137.660004,139.830002,137.014145,16050500
2023-04-18,140.270004,141.779999,139.029999,141.399994,138.552505,13760100
2023-04-19,141.229996,141.500000,140.399994,141.220001,138.376129,9158100
2023-04-20,139.910004,141.429993,139.839996,140.809998,137.974411,10586200
2023-04-21,139.740005,141.110001,138.779999,140.539993,137.709839,11842500
2023-04-24,140.460007,141.100006,140.039993,140.729996,137.896011,7567500
2023-04-25,139.600006,139.960007,137.630005,137.669998,134.897644,10629300
2023-04-26,137.619995,137.809998,134.000000,135.229996,132.506775,14416100
2023-04-27,136.000000,137.910004,135.660004,137.050003,134.290115,9041100
2023-04-28,136.559998,138.320007,135.669998,138.240005,135.456146,9881800
2023-05-01,142.259995,143.369995,140.830002,141.199997,138.356537,20415800
2023-05-02,141.399994,142.410004,138.429993,138.919998,136.122452,14113400
2023-05-03,138.440002,138.669998,135.759995,135.979996,133.241653,12930900
2023-05-04,134.960007,135.720001,131.809998,134.119995,131.419128,17089200
2023-05-05,136.440002,137.880005,135.910004,136.740005,133.986374,11259100
2023-05-08,137.490005,137.970001,136.479996,137.070007,134.309723,7484900
2023-05-09,135.929993,136.949997,135.210007,136.410004,133.663010,7343600
2023-05-10,137.949997,138.059998,134.869995,136.479996,133.731583,8133400
2023-05-11,135.000000,136.809998,134.899994,136.050003,133.310257,7057300
2023-05-12,136.820007,136.990005,133.130005,134.100006,131.399536,9986400
2023-05-15,134.270004,135.669998,133.960007,135.229996,132.506775,7639500
2023-05-16,135.460007,135.940002,133.960007,134.320007,131.615112,6477200
2023-05-17,135.899994,138.589996,135.460007,138.449997,135.661926,12711500
2023-05-18,138.270004,139.729996,137.759995,139.500000,136.690781,10999600
2023-05-19,139.789993,140.490005,138.130005,139.179993,136.377228,13490700
2023-05-22,141.000000,141.639999,137.660004,138.029999,135.250397,11402500
2023-05-23,137.539993,139.029999,136.460007,136.589996,133.839371,9514900
2023-05-24,135.399994,136.350006,135.080002,135.339996,132.614563,8578000
2023-05-25,134.820007,136.270004,134.580002,135.669998,132.937897,8472500
2023-05-26,136.110001,137.600006,135.630005,136.940002,134.182327,8579900
2023-05-30,136.800003,137.720001,136.020004,137.460007,134.691864,7399900
2023-05-31,136.729996,136.839996,134.399994,135.710007,132.977097,14219900
2023-06-01,136.520004,138.229996,135.449997,137.580002,134.809448,12248100
2023-06-02,139.559998,141.479996,139.339996,140.470001,137.641266,12917200
2023-06-05,140.110001,140.110001,138.130005,139.089996,136.289047,8511900
2023-06-06,138.679993,140.100006,138.210007,139.339996,136.533997,9329500
2023-06-07,139.550003,141.270004,138.830002,140.690002,137.856827,9281400
2023-06-08,140.669998,140.889999,139.479996,140.729996,137.896011,7368100
2023-06-09,140.350006,141.800003,140.210007,141.009995,138.170380,7249100
2023-06-12,141.070007,141.320007,139.759995,141.000000,138.160583,7596600
2023-06-13,140.479996,142.869995,140.139999,142.020004,139.160034,7701600
2023-06-14,143.000000,143.610001,140.699997,141.490005,138.640717,9068700
2023-06-15,140.589996,143.399994,140.029999,143.089996,140.208481,9343100
2023-06-16,143.050003,143.970001,142.500000,143.259995,140.375061,13812100
2023-06-20,142.610001,143.000000,141.039993,142.529999,139.659760,8428600
2023-06-21,142.899994,144.020004,141.690002,142.320007,139.454010,9926500
2023-06-22,142.309998,142.600006,138.949997,139.580002,136.769180,10075200
2023-06-23,138.539993,139.179993,137.619995,138.850006,136.053864,9907500
2023-06-26,138.869995,140.009995,137.690002,139.190002,136.387024,8429700
2023-06-27,139.000000,139.839996,138.539993,139.199997,136.396835,8154000
2023-06-28,139.160004,139.210007,137.960007,138.589996,135.799118,7558600
2023-06-29,140.070007,143.559998,139.850006,143.429993,140.541641,15423200
2023-06-30,144.600006,146.000000,143.660004,145.440002,142.511169,14208500
2023-07-03,146.190002,147.479996,146.000000,146.610001,143.657593,8021600
2023-07-05,144.940002,145.429993,144.360001,144.639999,142.700607,8934900
2023-07-06,143.020004,143.389999,141.440002,143.210007,141.289780,9709500
2023-07-07,143.910004,145.839996,143.000000,144.339996,142.404617,8977500
2023-07-10,144.500000,145.990005,144.500000,145.149994,143.203766,9100100
2023-07-11,146.339996,147.820007,145.710007,147.419998,145.443329,11265600
2023-07-12,147.449997,149.869995,147.000000,148.149994,146.163544,11323200
2023-07-13,148.699997,149.369995,147.750000,148.869995,146.873886,11234900
2023-07-14,151.550003,152.889999,148.410004,149.770004,147.761826,27011600
2023-07-17,150.350006,153.750000,150.350006,153.380005,151.323410,17262400
2023-07-18,153.380005,154.399994,152.820007,153.660004,151.599670,13491700
2023-07-19,152.750000,155.210007,152.220001,154.250000,152.181747,12510000
2023-07-20,154.529999,156.589996,154.410004,156.149994,154.056274,9935900
2023-07-21,155.800003,156.139999,154.690002,154.949997,152.872360,10633100
2023-07-24,154.970001,158.789993,154.729996,158.000000,155.881470,14381400
2023-07-25,157.300003,157.720001,155.960007,156.820007,154.717300,9944700
2023-07-26,156.710007,158.250000,156.279999,157.759995,155.644684,8728600
2023-07-27,157.770004,158.779999,155.550003,156.020004,153.928024,10778400
2023-07-28,157.279999,157.600006,156.440002,156.910004,154.806091,9103800
2023-07-31,157.179993,159.380005,157.149994,157.960007,155.842010,8892700
2023-08-01,157.429993,158.000000,156.149994,157.179993,155.072449,6853900
2023-08-02,155.559998,155.690002,153.940002,155.399994,153.316330,8299400
2023-08-03,155.000000,156.919998,154.350006,156.350006,154.253586,6084000
2023-08-04,156.399994,157.800003,155.699997,156.020004,153.928024,6206600
2023-08-07,156.600006,157.699997,156.600006,156.759995,154.658096,7251800
